 temperature	i	 j	spin A(i,j)
   2.92000008              13          16          -1
   2.92000008              13          17          -1
   2.92000008              13          18          -1
   2.92000008              13          19          -1
   2.92000008              13          20          -1
   2.92000008              13          21          -1
   2.92000008              14           2          -1
   2.92000008              14           3          -1
   2.92000008              14           4          -1
   2.92000008              14           5          -1
   2.92000008              14           6          -1
   2.92000008              14           7          -1
   2.92000008              14           8           1
   2.92000008              14           9           1
   2.92000008              14          10           1
   2.92000008              14          11          -1
   2.92000008              14          12          -1
   2.92000008              14          13          -1
   2.92000008              14          14          -1
   2.92000008              14          15          -1
   2.92000008              14          16          -1
   2.92000008              14          17          -1
   2.92000008              14          18          -1
   2.92000008              14          19          -1
   2.92000008              14          20          -1
   2.92000008              14          21          -1
   2.92000008              15           2          -1
   2.92000008              15           3          -1
   2.92000008              15           4          -1
   2.92000008              15           5          -1
   2.92000008              15           6          -1
   2.92000008              15           7          -1
   2.92000008              15           8          -1
   2.92000008              15           9          -1
   2.92000008              15          10          -1
   2.92000008              15          11          -1
   2.92000008              15          12          -1
   2.92000008              15          13          -1
   2.92000008              15          14          -1
   2.92000008              15          15          -1
   2.92000008              15          16          -1
   2.92000008              15          17          -1
   2.92000008              15          18          -1
   2.92000008              15          19          -1
   2.92000008              15          20          -1
   2.92000008              15          21          -1
   2.92000008              16           2          -1
   2.92000008              16           3          -1
   2.92000008              16           4          -1
   2.92000008              16           5          -1
   2.92000008              16           6          -1
   2.92000008              16           7          -1
   2.92000008              16           8          -1
   2.92000008              16           9          -1
   2.92000008              16          10          -1
   2.92000008              16          11          -1
   2.92000008              16          12          -1
   2.92000008              16          13          -1
   2.92000008              16          14          -1
   2.92000008              16          15           1
   2.92000008              16          16          -1
   2.92000008              16          17          -1
   2.92000008              16          18          -1
   2.92000008              16          19          -1
   2.92000008              16          20          -1
   2.92000008              16          21          -1
   2.92000008              17           2           1
   2.92000008              17           3           1
   2.92000008              17           4          -1
   2.92000008              17           5          -1
   2.92000008              17           6          -1
   2.92000008              17           7          -1
   2.92000008              17           8          -1
   2.92000008              17           9          -1
   2.92000008              17          10          -1
   2.92000008              17          11          -1
   2.92000008              17          12          -1
   2.92000008              17          13          -1
   2.92000008              17          14          -1
   2.92000008              17          15          -1
   2.92000008              17          16          -1
   2.92000008              17          17          -1
   2.92000008              17          18          -1
   2.92000008              17          19          -1
   2.92000008              17          20          -1
   2.92000008              17          21           1
   2.92000008              18           2          -1
   2.92000008              18           3          -1
   2.92000008              18           4          -1
   2.92000008              18           5          -1
   2.92000008              18           6          -1
   2.92000008              18           7          -1
   2.92000008              18           8          -1
   2.92000008              18           9          -1
   2.92000008              18          10          -1
   2.92000008              18          11          -1
   2.92000008              18          12          -1
   2.92000008              18          13          -1
   2.92000008              18          14          -1
   2.92000008              18          15          -1
   2.92000008              18          16          -1
   2.92000008              18          17          -1
   2.92000008              18          18          -1
   2.92000008              18          19          -1
   2.92000008              18          20          -1
   2.92000008              18          21          -1
   2.92000008              19           2          -1
   2.92000008              19           3          -1
   2.92000008              19           4          -1
   2.92000008              19           5          -1
   2.92000008              19           6          -1
   2.92000008              19           7          -1
   2.92000008              19           8          -1
   2.92000008              19           9          -1
   2.92000008              19          10          -1
   2.92000008              19          11          -1
   2.92000008              19          12          -1
   2.92000008              19          13          -1
   2.92000008              19          14          -1
   2.92000008              19          15          -1
   2.92000008              19          16          -1
   2.92000008              19          17          -1
   2.92000008              19          18          -1
   2.92000008              19          19          -1
   2.92000008              19          20          -1
   2.92000008              19          21          -1
   2.92000008              20           2          -1
   2.92000008              20           3          -1
   2.92000008              20           4          -1
   2.92000008              20           5          -1
   2.92000008              20           6          -1
   2.92000008              20           7          -1
   2.92000008              20           8          -1
   2.92000008              20           9          -1
   2.92000008              20          10          -1
   2.92000008              20          11          -1
   2.92000008              20          12          -1
   2.92000008              20          13          -1
   2.92000008              20          14           1
   2.92000008              20          15           1
   2.92000008              20          16           1
   2.92000008              20          17           1
   2.92000008              20          18          -1
   2.92000008              20          19          -1
   2.92000008              20          20          -1
   2.92000008              20          21          -1
   2.92000008              21           2          -1
   2.92000008              21           3           1
   2.92000008              21           4           1
   2.92000008              21           5          -1
   2.92000008              21           6          -1
   2.92000008              21           7          -1
   2.92000008              21           8          -1
   2.92000008              21           9          -1
   2.92000008              21          10          -1
   2.92000008              21          11          -1
   2.92000008              21          12           1
   2.92000008              21          13           1
   2.92000008              21          14           1
   2.92000008              21          15           1
   2.92000008              21          16           1
   2.92000008              21          17           1
   2.92000008              21          18          -1
   2.92000008              21          19          -1
   2.92000008              21          20          -1
   2.92000008              21          21           1
   2.82000017               2           2           1
   2.82000017               2           3           1
   2.82000017               2           4           1
   2.82000017               2           5           1
   2.82000017               2           6          -1
   2.82000017               2           7          -1
   2.82000017               2           8          -1
   2.82000017               2           9          -1
   2.82000017               2          10           1
   2.82000017               2          11           1
   2.82000017               2          12           1
   2.82000017               2          13           1
   2.82000017               2          14           1
   2.82000017               2          15           1
   2.82000017               2          16           1
   2.82000017               2          17           1
   2.82000017               2          18          -1
   2.82000017               2          19          -1
   2.82000017               2          20          -1
   2.82000017               2          21          -1
   2.82000017               3           2           1
   2.82000017               3           3           1
   2.82000017               3           4           1
   2.82000017               3           5           1
   2.82000017               3           6          -1
   2.82000017               3           7          -1
   2.82000017               3           8          -1
   2.82000017               3           9          -1
   2.82000017               3          10          -1
   2.82000017               3          11          -1
   2.82000017               3          12           1
   2.82000017               3          13           1
   2.82000017               3          14           1
   2.82000017               3          15          -1
   2.82000017               3          16          -1
   2.82000017               3          17          -1
   2.82000017               3          18          -1
   2.82000017               3          19          -1
   2.82000017               3          20          -1
   2.82000017               3          21           1
   2.82000017               4           2           1
   2.82000017               4           3           1
   2.82000017               4           4           1
   2.82000017               4           5          -1
   2.82000017               4           6          -1
   2.82000017               4           7          -1
   2.82000017               4           8          -1
   2.82000017               4           9          -1
   2.82000017               4          10          -1
   2.82000017               4          11          -1
   2.82000017               4          12          -1
   2.82000017               4          13          -1
   2.82000017               4          14          -1
   2.82000017               4          15          -1
   2.82000017               4          16          -1
   2.82000017               4          17          -1
   2.82000017               4          18          -1
   2.82000017               4          19          -1
   2.82000017               4          20          -1
   2.82000017               4          21           1
   2.82000017               5           2          -1
   2.82000017               5           3           1
   2.82000017               5           4           1
   2.82000017               5           5           1
   2.82000017               5           6           1
   2.82000017               5           7           1
   2.82000017               5           8           1
   2.82000017               5           9          -1
   2.82000017               5          10          -1
   2.82000017               5          11          -1
   2.82000017               5          12          -1
   2.82000017               5          13          -1
   2.82000017               5          14          -1
   2.82000017               5          15          -1
   2.82000017               5          16          -1
   2.82000017               5          17          -1
   2.82000017               5          18          -1
   2.82000017               5          19          -1
   2.82000017               5          20          -1
   2.82000017               5          21           1
   2.82000017               6           2           1
   2.82000017               6           3           1
   2.82000017               6           4           1
   2.82000017               6           5           1
   2.82000017               6           6           1
   2.82000017               6           7           1
   2.82000017               6           8           1
   2.82000017               6           9          -1
   2.82000017               6          10          -1
   2.82000017               6          11          -1
   2.82000017               6          12          -1
   2.82000017               6          13          -1
   2.82000017               6          14          -1
   2.82000017               6          15          -1
   2.82000017               6          16          -1
   2.82000017               6          17          -1
   2.82000017               6          18          -1
   2.82000017               6          19          -1
   2.82000017               6          20          -1
   2.82000017               6          21          -1
   2.82000017               7           2           1
   2.82000017               7           3           1
   2.82000017               7           4           1
   2.82000017               7           5           1
   2.82000017               7           6           1
   2.82000017               7           7           1
   2.82000017               7           8           1
   2.82000017               7           9           1
   2.82000017               7          10          -1
   2.82000017               7          11          -1
   2.82000017               7          12          -1
   2.82000017               7          13          -1
   2.82000017               7          14          -1
   2.82000017               7          15          -1
   2.82000017               7          16          -1
   2.82000017               7          17          -1
   2.82000017               7          18          -1
   2.82000017               7          19          -1
   2.82000017               7          20          -1
   2.82000017               7          21          -1
   2.82000017               8           2           1
   2.82000017               8           3           1
   2.82000017               8           4           1
   2.82000017               8           5           1
   2.82000017               8           6          -1
   2.82000017               8           7           1
   2.82000017               8           8           1
   2.82000017               8           9           1
   2.82000017               8          10           1
   2.82000017               8          11          -1
   2.82000017               8          12          -1
   2.82000017               8          13          -1
   2.82000017               8          14          -1
   2.82000017               8          15          -1
   2.82000017               8          16          -1
   2.82000017               8          17          -1
   2.82000017               8          18          -1
   2.82000017               8          19          -1
   2.82000017               8          20          -1
   2.82000017               8          21          -1
   2.82000017               9           2          -1
   2.82000017               9           3           1
   2.82000017               9           4           1
   2.82000017               9           5           1
   2.82000017               9           6           1
   2.82000017               9           7           1
   2.82000017               9           8           1
   2.82000017               9           9           1
   2.82000017               9          10          -1
   2.82000017               9          11          -1
   2.82000017               9          12          -1
   2.82000017               9          13          -1
   2.82000017               9          14          -1
   2.82000017               9          15          -1
   2.82000017               9          16          -1
   2.82000017               9          17          -1
   2.82000017               9          18          -1
   2.82000017               9          19          -1
   2.82000017               9          20          -1
   2.82000017               9          21          -1
   2.82000017              10           2           1
   2.82000017              10           3           1
   2.82000017              10           4           1
   2.82000017              10           5           1
   2.82000017              10           6           1
   2.82000017              10           7           1
   2.82000017              10           8           1
