 temperature	i	 j	spin A(i,j)
   2.32000017               6           4           1
   2.32000017               6           5           1
   2.32000017               6           6           1
   2.32000017               6           7           1
   2.32000017               6           8           1
   2.32000017               6           9          -1
   2.32000017               6          10          -1
   2.32000017               6          11          -1
   2.32000017               6          12          -1
   2.32000017               6          13          -1
   2.32000017               6          14          -1
   2.32000017               6          15          -1
   2.32000017               6          16          -1
   2.32000017               6          17          -1
   2.32000017               6          18          -1
   2.32000017               6          19          -1
   2.32000017               6          20          -1
   2.32000017               6          21          -1
   2.32000017               7           2           1
   2.32000017               7           3           1
   2.32000017               7           4           1
   2.32000017               7           5           1
   2.32000017               7           6           1
   2.32000017               7           7           1
   2.32000017               7           8           1
   2.32000017               7           9           1
   2.32000017               7          10          -1
   2.32000017               7          11          -1
   2.32000017               7          12          -1
   2.32000017               7          13          -1
   2.32000017               7          14          -1
   2.32000017               7          15          -1
   2.32000017               7          16          -1
   2.32000017               7          17          -1
   2.32000017               7          18          -1
   2.32000017               7          19          -1
   2.32000017               7          20          -1
   2.32000017               7          21          -1
   2.32000017               8           2           1
   2.32000017               8           3           1
   2.32000017               8           4           1
   2.32000017               8           5           1
   2.32000017               8           6          -1
   2.32000017               8           7           1
   2.32000017               8           8           1
   2.32000017               8           9           1
   2.32000017               8          10           1
   2.32000017               8          11          -1
   2.32000017               8          12          -1
   2.32000017               8          13          -1
   2.32000017               8          14          -1
   2.32000017               8          15          -1
   2.32000017               8          16          -1
   2.32000017               8          17          -1
   2.32000017               8          18          -1
   2.32000017               8          19          -1
   2.32000017               8          20          -1
   2.32000017               8          21          -1
   2.32000017               9           2          -1
   2.32000017               9           3           1
   2.32000017               9           4           1
   2.32000017               9           5           1
   2.32000017               9           6           1
   2.32000017               9           7           1
   2.32000017               9           8           1
   2.32000017               9           9           1
   2.32000017               9          10          -1
   2.32000017               9          11          -1
   2.32000017               9          12          -1
   2.32000017               9          13          -1
   2.32000017               9          14          -1
   2.32000017               9          15          -1
   2.32000017               9          16          -1
   2.32000017               9          17          -1
   2.32000017               9          18          -1
   2.32000017               9          19          -1
   2.32000017               9          20          -1
   2.32000017               9          21          -1
   2.32000017              10           2           1
   2.32000017              10           3           1
   2.32000017              10           4           1
   2.32000017              10           5           1
   2.32000017              10           6           1
   2.32000017              10           7           1
   2.32000017              10           8           1
   2.32000017              10           9           1
   2.32000017              10          10          -1
   2.32000017              10          11          -1
   2.32000017              10          12          -1
   2.32000017              10          13          -1
   2.32000017              10          14          -1
   2.32000017              10          15          -1
   2.32000017              10          16          -1
   2.32000017              10          17          -1
   2.32000017              10          18          -1
   2.32000017              10          19          -1
   2.32000017              10          20          -1
   2.32000017              10          21          -1
   2.32000017              11           2           1
   2.32000017              11           3           1
   2.32000017              11           4           1
   2.32000017              11           5           1
   2.32000017              11           6           1
   2.32000017              11           7           1
   2.32000017              11           8           1
   2.32000017              11           9           1
   2.32000017              11          10           1
   2.32000017              11          11           1
   2.32000017              11          12           1
   2.32000017              11          13           1
   2.32000017              11          14          -1
   2.32000017              11          15          -1
   2.32000017              11          16          -1
   2.32000017              11          17          -1
   2.32000017              11          18          -1
   2.32000017              11          19          -1
   2.32000017              11          20          -1
   2.32000017              11          21           1
   2.32000017              12           2           1
   2.32000017              12           3           1
   2.32000017              12           4           1
   2.32000017              12           5           1
   2.32000017              12           6           1
   2.32000017              12           7           1
   2.32000017              12           8           1
   2.32000017              12           9           1
   2.32000017              12          10           1
   2.32000017              12          11           1
   2.32000017              12          12           1
   2.32000017              12          13           1
   2.32000017              12          14          -1
   2.32000017              12          15          -1
   2.32000017              12          16          -1
   2.32000017              12          17          -1
   2.32000017              12          18          -1
   2.32000017              12          19          -1
   2.32000017              12          20          -1
   2.32000017              12          21          -1
   2.32000017              13           2          -1
   2.32000017              13           3          -1
   2.32000017              13           4          -1
   2.32000017              13           5          -1
   2.32000017              13           6          -1
   2.32000017              13           7           1
   2.32000017              13           8           1
   2.32000017              13           9           1
   2.32000017              13          10           1
   2.32000017              13          11          -1
   2.32000017              13          12          -1
   2.32000017              13          13          -1
   2.32000017              13          14          -1
   2.32000017              13          15          -1
   2.32000017              13          16          -1
   2.32000017              13          17          -1
   2.32000017              13          18          -1
   2.32000017              13          19          -1
   2.32000017              13          20          -1
   2.32000017              13          21          -1
   2.32000017              14           2          -1
   2.32000017              14           3          -1
   2.32000017              14           4          -1
   2.32000017              14           5          -1
   2.32000017              14           6          -1
   2.32000017              14           7          -1
   2.32000017              14           8           1
   2.32000017              14           9           1
   2.32000017              14          10           1
   2.32000017              14          11          -1
   2.32000017              14          12          -1
   2.32000017              14          13          -1
   2.32000017              14          14          -1
   2.32000017              14          15          -1
   2.32000017              14          16          -1
   2.32000017              14          17          -1
   2.32000017              14          18          -1
   2.32000017              14          19          -1
   2.32000017              14          20          -1
   2.32000017              14          21          -1
   2.32000017              15           2          -1
   2.32000017              15           3          -1
   2.32000017              15           4          -1
   2.32000017              15           5          -1
   2.32000017              15           6          -1
   2.32000017              15           7          -1
   2.32000017              15           8          -1
   2.32000017              15           9          -1
   2.32000017              15          10          -1
   2.32000017              15          11          -1
   2.32000017              15          12          -1
   2.32000017              15          13          -1
   2.32000017              15          14          -1
   2.32000017              15          15          -1
   2.32000017              15          16          -1
   2.32000017              15          17          -1
   2.32000017              15          18          -1
   2.32000017              15          19          -1
   2.32000017              15          20          -1
   2.32000017              15          21          -1
   2.32000017              16           2          -1
   2.32000017              16           3          -1
   2.32000017              16           4          -1
   2.32000017              16           5          -1
   2.32000017              16           6          -1
   2.32000017              16           7          -1
   2.32000017              16           8          -1
   2.32000017              16           9          -1
   2.32000017              16          10          -1
   2.32000017              16          11          -1
   2.32000017              16          12          -1
   2.32000017              16          13          -1
   2.32000017              16          14          -1
   2.32000017              16          15           1
   2.32000017              16          16          -1
   2.32000017              16          17          -1
   2.32000017              16          18          -1
   2.32000017              16          19          -1
   2.32000017              16          20          -1
   2.32000017              16          21          -1
   2.32000017              17           2           1
   2.32000017              17           3           1
   2.32000017              17           4          -1
   2.32000017              17           5          -1
   2.32000017              17           6          -1
   2.32000017              17           7          -1
   2.32000017              17           8          -1
   2.32000017              17           9          -1
   2.32000017              17          10          -1
   2.32000017              17          11          -1
   2.32000017              17          12          -1
   2.32000017              17          13          -1
   2.32000017              17          14          -1
   2.32000017              17          15          -1
   2.32000017              17          16          -1
   2.32000017              17          17          -1
   2.32000017              17          18          -1
   2.32000017              17          19          -1
   2.32000017              17          20          -1
   2.32000017              17          21           1
   2.32000017              18           2          -1
   2.32000017              18           3          -1
   2.32000017              18           4          -1
   2.32000017              18           5          -1
   2.32000017              18           6          -1
   2.32000017              18           7          -1
   2.32000017              18           8          -1
   2.32000017              18           9          -1
   2.32000017              18          10          -1
   2.32000017              18          11          -1
   2.32000017              18          12          -1
   2.32000017              18          13          -1
   2.32000017              18          14          -1
   2.32000017              18          15          -1
   2.32000017              18          16          -1
   2.32000017              18          17          -1
   2.32000017              18          18          -1
   2.32000017              18          19          -1
   2.32000017              18          20          -1
   2.32000017              18          21          -1
   2.32000017              19           2          -1
   2.32000017              19           3          -1
   2.32000017              19           4          -1
   2.32000017              19           5          -1
   2.32000017              19           6          -1
   2.32000017              19           7          -1
   2.32000017              19           8          -1
   2.32000017              19           9          -1
   2.32000017              19          10          -1
   2.32000017              19          11          -1
   2.32000017              19          12          -1
   2.32000017              19          13          -1
   2.32000017              19          14          -1
   2.32000017              19          15          -1
   2.32000017              19          16          -1
   2.32000017              19          17          -1
   2.32000017              19          18          -1
   2.32000017              19          19          -1
   2.32000017              19          20          -1
   2.32000017              19          21          -1
   2.32000017              20           2          -1
   2.32000017              20           3          -1
   2.32000017              20           4          -1
   2.32000017              20           5          -1
   2.32000017              20           6          -1
   2.32000017              20           7          -1
   2.32000017              20           8          -1
   2.32000017              20           9          -1
   2.32000017              20          10          -1
   2.32000017              20          11          -1
   2.32000017              20          12          -1
   2.32000017              20          13          -1
   2.32000017              20          14           1
   2.32000017              20          15           1
   2.32000017              20          16           1
   2.32000017              20          17           1
   2.32000017              20          18          -1
   2.32000017              20          19          -1
   2.32000017              20          20          -1
   2.32000017              20          21          -1
   2.32000017              21           2          -1
   2.32000017              21           3           1
   2.32000017              21           4           1
   2.32000017              21           5          -1
   2.32000017              21           6          -1
   2.32000017              21           7          -1
   2.32000017              21           8          -1
   2.32000017              21           9          -1
   2.32000017              21          10          -1
   2.32000017              21          11          -1
   2.32000017              21          12           1
   2.32000017              21          13           1
   2.32000017              21          14           1
   2.32000017              21          15           1
   2.32000017              21          16           1
   2.32000017              21          17           1
   2.32000017              21          18          -1
   2.32000017              21          19          -1
   2.32000017              21          20          -1
   2.32000017              21          21           1
   2.22000003               2           2           1
   2.22000003               2           3           1
   2.22000003               2           4           1
   2.22000003               2           5           1
   2.22000003               2           6          -1
   2.22000003               2           7          -1
   2.22000003               2           8          -1
   2.22000003               2           9          -1
   2.22000003               2          10           1
   2.22000003               2          11           1
   2.22000003               2          12           1
   2.22000003               2          13           1
   2.22000003               2          14           1
   2.22000003               2          15           1
   2.22000003               2          16           1
   2.22000003               2          17           1
   2.22000003               2          18          -1
   2.22000003               2          19          -1
   2.22000003               2          20          -1
   2.22000003               2          21          -1
   2.22000003               3           2           1
   2.22000003               3           3           1
   2.22000003               3           4           1
   2.22000003               3           5           1
   2.22000003               3           6          -1
   2.22000003               3           7          -1
   2.22000003               3           8          -1
   2.22000003               3           9          -1
   2.22000003               3          10          -1
   2.22000003               3          11          -1
   2.22000003               3          12           1
   2.22000003               3          13           1
   2.22000003               3          14           1
   2.22000003               3          15          -1
   2.22000003               3          16          -1
   2.22000003               3          17          -1
   2.22000003               3          18          -1
   2.22000003               3          19          -1
   2.22000003               3          20          -1
   2.22000003               3          21           1
   2.22000003               4           2           1
   2.22000003               4           3           1
   2.22000003               4           4           1
   2.22000003               4           5          -1
   2.22000003               4           6          -1
   2.22000003               4           7          -1
   2.22000003               4           8          -1
   2.22000003               4           9          -1
   2.22000003               4          10          -1
   2.22000003               4          11          -1
   2.22000003               4          12          -1
   2.22000003               4          13          -1
   2.22000003               4          14          -1
   2.22000003               4          15          -1
   2.22000003               4          16          -1
   2.22000003               4          17          -1
   2.22000003               4          18          -1
   2.22000003               4          19          -1
   2.22000003               4          20          -1
   2.22000003               4          21           1
   2.22000003               5           2          -1
   2.22000003               5           3           1
   2.22000003               5           4           1
   2.22000003               5           5           1
   2.22000003               5           6           1
   2.22000003               5           7           1
   2.22000003               5           8           1
   2.22000003               5           9          -1
   2.22000003               5          10          -1
   2.22000003               5          11          -1
   2.22000003               5          12          -1
   2.22000003               5          13          -1
   2.22000003               5          14          -1
   2.22000003               5          15          -1
   2.22000003               5          16          -1
   2.22000003               5          17          -1
   2.22000003               5          18          -1
   2.22000003               5          19          -1
   2.22000003               5          20          -1
   2.22000003               5          21           1
   2.22000003               6           2           1
   2.22000003               6           3           1
   2.22000003               6           4           1
   2.22000003               6           5           1
   2.22000003               6           6           1
   2.22000003               6           7           1
   2.22000003               6           8           1
   2.22000003               6           9          -1
   2.22000003               6          10          -1
   2.22000003               6          11          -1
   2.22000003               6          12          -1
   2.22000003               6          13          -1
   2.22000003               6          14          -1
   2.22000003               6          15          -1
   2.22000003               6          16          -1
   2.22000003               6          17          -1
   2.22000003               6          18          -1
   2.22000003               6          19          -1
   2.22000003               6          20          -1
   2.22000003               6          21          -1
   2.22000003               7           2           1
   2.22000003               7           3           1
   2.22000003               7           4           1
   2.22000003               7           5           1
   2.22000003               7           6           1
   2.22000003               7           7           1
   2.22000003               7           8           1
   2.22000003               7           9           1
   2.22000003               7          10          -1
   2.22000003               7          11          -1
   2.22000003               7          12          -1
   2.22000003               7          13          -1
   2.22000003               7          14          -1
   2.22000003               7          15          -1
   2.22000003               7          16          -1
   2.22000003               7          17          -1
   2.22000003               7          18          -1
   2.22000003               7          19          -1
   2.22000003               7          20          -1
   2.22000003               7          21          -1
   2.22000003               8           2           1
   2.22000003               8           3           1
   2.22000003               8           4           1
   2.22000003               8           5           1
   2.22000003               8           6          -1
   2.22000003               8           7           1
   2.22000003               8           8           1
   2.22000003               8           9           1
   2.22000003               8          10           1
   2.22000003               8          11          -1
   2.22000003               8          12          -1
   2.22000003               8          13          -1
   2.22000003               8          14          -1
   2.22000003               8          15          -1
   2.22000003               8          16          -1
   2.22000003               8          17          -1
   2.22000003               8          18          -1
   2.22000003               8          19          -1
   2.22000003               8          20          -1
   2.22000003               8          21          -1
   2.22000003               9           2          -1
   2.22000003               9           3           1
   2.22000003               9           4           1
   2.22000003               9           5           1
   2.22000003               9           6           1
   2.22000003               9           7           1
   2.22000003               9           8           1
   2.22000003               9           9           1
   2.22000003               9          10          -1
   2.22000003               9          11          -1
   2.22000003               9          12          -1
   2.22000003               9          13          -1
   2.22000003               9          14          -1
   2.22000003               9          15          -1
   2.22000003               9          16          -1
   2.22000003               9          17          -1
   2.22000003               9          18          -1
   2.22000003               9          19          -1
   2.22000003               9          20          -1
   2.22000003               9          21          -1
   2.22000003              10           2           1
   2.22000003              10           3           1
   2.22000003              10           4           1
   2.22000003              10           5           1
   2.22000003              10           6           1
   2.22000003              10           7           1
   2.22000003              10           8           1
   2.22000003              10           9           1
   2.22000003              10          10          -1
   2.22000003              10          11          -1
   2.22000003              10          12          -1
   2.22000003              10          13          -1
   2.22000003              10          14          -1
   2.22000003              10          15          -1
   2.22000003              10          16          -1
   2.22000003              10          17          -1
   2.22000003              10          18          -1
   2.22000003              10          19          -1
   2.22000003              10          20          -1
   2.22000003              10          21          -1
   2.22000003              11           2           1
   2.22000003              11           3           1
   2.22000003              11           4           1
   2.22000003              11           5           1
   2.22000003              11           6           1
   2.22000003              11           7           1
   2.22000003              11           8           1
   2.22000003              11           9           1
   2.22000003              11          10           1
   2.22000003              11          11           1
   2.22000003              11          12           1
   2.22000003              11          13           1
   2.22000003              11          14          -1
   2.22000003              11          15          -1
   2.22000003              11          16          -1
   2.22000003              11          17          -1
   2.22000003              11          18          -1
   2.22000003              11          19          -1
   2.22000003              11          20          -1
   2.22000003              11          21           1
   2.22000003              12           2           1
   2.22000003              12           3           1
   2.22000003              12           4           1
   2.22000003              12           5           1
   2.22000003              12           6           1
   2.22000003              12           7           1
   2.22000003              12           8           1
   2.22000003              12           9           1
   2.22000003              12          10           1
   2.22000003              12          11           1
   2.22000003              12          12           1
   2.22000003              12          13           1
   2.22000003              12          14          -1
   2.22000003              12          15          -1
   2.22000003              12          16          -1
   2.22000003              12          17          -1
   2.22000003              12          18          -1
   2.22000003              12          19          -1
   2.22000003              12          20          -1
   2.22000003              12          21          -1
   2.22000003              13           2          -1
   2.22000003              13           3          -1
   2.22000003              13           4          -1
   2.22000003              13           5          -1
   2.22000003              13           6          -1
   2.22000003              13           7           1
   2.22000003              13           8           1
   2.22000003              13           9           1
   2.22000003              13          10           1
   2.22000003              13          11          -1
   2.22000003              13          12          -1
   2.22000003              13          13          -1
   2.22000003              13          14          -1
   2.22000003              13          15          -1
   2.22000003              13          16          -1
   2.22000003              13          17          -1
   2.22000003              13          18          -1
   2.22000003              13          19          -1
   2.22000003              13          20          -1
   2.22000003              13          21          -1
   2.22000003              14           2          -1
   2.22000003              14           3          -1
   2.22000003              14           4          -1
   2.22000003              14           5          -1
   2.22000003              14           6          -1
   2.22000003              14           7          -1
   2.22000003              14           8           1
   2.22000003              14           9           1
   2.22000003              14          10           1
   2.22000003              14          11          -1
   2.22000003              14          12          -1
   2.22000003              14          13          -1
   2.22000003              14          14          -1
   2.22000003              14          15          -1
   2.22000003              14          16          -1
   2.22000003              14          17          -1
   2.22000003              14          18          -1
   2.22000003              14          19          -1
   2.22000003              14          20          -1
   2.22000003              14          21          -1
   2.22000003              15           2          -1
   2.22000003              15           3          -1
   2.22000003              15           4          -1
   2.22000003              15           5          -1
   2.22000003              15           6          -1
   2.22000003              15           7          -1
   2.22000003              15           8          -1
   2.22000003              15           9          -1
   2.22000003              15          10          -1
   2.22000003              15          11          -1
   2.22000003              15          12          -1
   2.22000003              15          13          -1
   2.22000003              15          14          -1
   2.22000003              15          15          -1
   2.22000003              15          16          -1
   2.22000003              15          17          -1
   2.22000003              15          18          -1
   2.22000003              15          19          -1
   2.22000003              15          20          -1
   2.22000003              15          21          -1
   2.22000003              16           2          -1
   2.22000003              16           3          -1
   2.22000003              16           4          -1
   2.22000003              16           5          -1
   2.22000003              16           6          -1
   2.22000003              16           7          -1
   2.22000003              16           8          -1
   2.22000003              16           9          -1
   2.22000003              16          10          -1
   2.22000003              16          11          -1
   2.22000003              16          12          -1
   2.22000003              16          13          -1
   2.22000003              16          14          -1
   2.22000003              16          15           1
   2.22000003              16          16          -1
   2.22000003              16          17          -1
   2.22000003              16          18          -1
   2.22000003              16          19          -1
   2.22000003              16          20          -1
   2.22000003              16          21          -1
   2.22000003              17           2           1
   2.22000003              17           3           1
   2.22000003              17           4          -1
   2.22000003              17           5          -1
   2.22000003              17           6          -1
   2.22000003              17           7          -1
   2.22000003              17           8          -1
   2.22000003              17           9          -1
   2.22000003              17          10          -1
   2.22000003              17          11          -1
   2.22000003              17          12          -1
   2.22000003              17          13          -1
   2.22000003              17          14          -1
   2.22000003              17          15          -1
   2.22000003              17          16          -1
   2.22000003              17          17          -1
   2.22000003              17          18          -1
   2.22000003              17          19          -1
   2.22000003              17          20          -1
   2.22000003              17          21           1
   2.22000003              18           2          -1
   2.22000003              18           3          -1
   2.22000003              18           4          -1
   2.22000003              18           5          -1
   2.22000003              18           6          -1
   2.22000003              18           7          -1
   2.22000003              18           8          -1
   2.22000003              18           9          -1
   2.22000003              18          10          -1
   2.22000003              18          11          -1
   2.22000003              18          12          -1
   2.22000003              18          13          -1
   2.22000003              18          14          -1
   2.22000003              18          15          -1
   2.22000003              18          16          -1
   2.22000003              18          17          -1
   2.22000003              18          18          -1
   2.22000003              18          19          -1
   2.22000003              18          20          -1
   2.22000003              18          21          -1
   2.22000003              19           2          -1
   2.22000003              19           3          -1
   2.22000003              19           4          -1
   2.22000003              19           5          -1
   2.22000003              19           6          -1
   2.22000003              19           7          -1
   2.22000003              19           8          -1
   2.22000003              19           9          -1
   2.22000003              19          10          -1
   2.22000003              19          11          -1
   2.22000003              19          12          -1
   2.22000003              19          13          -1
   2.22000003              19          14          -1
   2.22000003              19          15          -1
   2.22000003              19          16          -1
   2.22000003              19          17          -1
   2.22000003              19          18          -1
   2.22000003              19          19          -1
   2.22000003              19          20          -1
   2.22000003              19          21          -1
   2.22000003              20           2          -1
   2.22000003              20           3          -1
   2.22000003              20           4          -1
   2.22000003              20           5          -1
   2.22000003              20           6          -1
   2.22000003              20           7          -1
   2.22000003              20           8          -1
   2.22000003              20           9          -1
   2.22000003              20          10          -1
   2.22000003              20          11          -1
   2.22000003              20          12          -1
   2.22000003              20          13          -1
   2.22000003              20          14           1
   2.22000003              20          15           1
   2.22000003              20          16           1
   2.22000003              20          17           1
   2.22000003              20          18          -1
   2.22000003              20          19          -1
   2.22000003              20          20          -1
   2.22000003              20          21          -1
   2.22000003              21           2          -1
   2.22000003              21           3           1
   2.22000003              21           4           1
   2.22000003              21           5          -1
   2.22000003              21           6          -1
   2.22000003              21           7          -1
   2.22000003              21           8          -1
   2.22000003              21           9          -1
   2.22000003              21          10          -1
   2.22000003              21          11          -1
   2.22000003              21          12           1
   2.22000003              21          13           1
   2.22000003              21          14           1
   2.22000003              21          15           1
   2.22000003              21          16           1
   2.22000003              21          17           1
   2.22000003              21          18          -1
   2.22000003              21          19          -1
   2.22000003              21          20          -1
   2.22000003              21          21           1
   2.12000012               2           2           1
   2.12000012               2           3           1
   2.12000012               2           4           1
   2.12000012               2           5           1
   2.12000012               2           6          -1
   2.12000012               2           7          -1
   2.12000012               2           8          -1
   2.12000012               2           9          -1
   2.12000012               2          10           1
   2.12000012               2          11           1
   2.12000012               2          12           1
   2.12000012               2          13           1
   2.12000012               2          14           1
   2.12000012               2          15           1
   2.12000012               2          16           1
   2.12000012               2          17           1
   2.12000012               2          18          -1
   2.12000012               2          19          -1
   2.12000012               2          20          -1
   2.12000012               2          21          -1
   2.12000012               3           2           1
   2.12000012               3           3           1
   2.12000012               3           4           1
   2.12000012               3           5           1
   2.12000012               3           6          -1
   2.12000012               3           7          -1
   2.12000012               3           8          -1
   2.12000012               3           9          -1
   2.12000012               3          10          -1
   2.12000012               3          11          -1
   2.12000012               3          12           1
   2.12000012               3          13           1
   2.12000012               3          14           1
   2.12000012               3          15          -1
   2.12000012               3          16          -1
   2.12000012               3          17          -1
   2.12000012               3          18          -1
   2.12000012               3          19          -1
   2.12000012               3          20          -1
   2.12000012               3          21           1
   2.12000012               4           2           1
   2.12000012               4           3           1
   2.12000012               4           4           1
   2.12000012               4           5          -1
   2.12000012               4           6          -1
   2.12000012               4           7          -1
   2.12000012               4           8          -1
   2.12000012               4           9          -1
   2.12000012               4          10          -1
   2.12000012               4          11          -1
   2.12000012               4          12          -1
   2.12000012               4          13          -1
   2.12000012               4          14          -1
   2.12000012               4          15          -1
   2.12000012               4          16          -1
   2.12000012               4          17          -1
   2.12000012               4          18          -1
   2.12000012               4          19          -1
   2.12000012               4          20          -1
   2.12000012               4          21           1
   2.12000012               5           2          -1
   2.12000012               5           3           1
   2.12000012               5           4           1
   2.12000012               5           5           1
   2.12000012               5           6           1
   2.12000012               5           7           1
   2.12000012               5           8           1
   2.12000012               5           9          -1
   2.12000012               5          10          -1
   2.12000012               5          11          -1
   2.12000012               5          12          -1
   2.12000012               5          13          -1
   2.12000012               5          14          -1
   2.12000012               5          15          -1
   2.12000012               5          16          -1
   2.12000012               5          17          -1
   2.12000012               5          18          -1
   2.12000012               5          19          -1
   2.12000012               5          20          -1
   2.12000012               5          21           1
   2.12000012               6           2           1
   2.12000012               6           3           1
   2.12000012               6           4           1
   2.12000012               6           5           1
   2.12000012               6           6           1
   2.12000012               6           7           1
   2.12000012               6           8           1
   2.12000012               6           9          -1
   2.12000012               6          10          -1
   2.12000012               6          11          -1
   2.12000012               6          12          -1
   2.12000012               6          13          -1
   2.12000012               6          14          -1
   2.12000012               6          15          -1
   2.12000012               6          16          -1
   2.12000012               6          17          -1
   2.12000012               6          18          -1
   2.12000012               6          19          -1
   2.12000012               6          20          -1
   2.12000012               6          21          -1
   2.12000012               7           2           1
   2.12000012               7           3           1
   2.12000012               7           4           1
   2.12000012               7           5           1
   2.12000012               7           6           1
   2.12000012               7           7           1
   2.12000012               7           8           1
   2.12000012               7           9           1
   2.12000012               7          10          -1
   2.12000012               7          11          -1
   2.12000012               7          12          -1
   2.12000012               7          13          -1
   2.12000012               7          14          -1
   2.12000012               7          15          -1
   2.12000012               7          16          -1
   2.12000012               7          17          -1
